ComponentIndex	Label
0	artifacts
1	artifacts
2	signal
3	signal
4	signal
5	artifacts
6	signal
7	signal
8	signal
9	signal
10	signal
11	signal
12	artifacts
13	signal
14	artifacts
15	signal
16	signal
17	signal
18	signal
19	signal
